LXKresponded,body,codename,comments,date,id,model,program,purchaseType,reply,stars,title,upvotes,url,username
No," The Good:-Compact design (fits in the same space as my older smaller inkjet printer)-Great print quality-Fast printing-Easy set up (just have to download the Lexmark iOS app)-Fairly quiet operationThe Bad:-No scanning functionality (but compact design), I typically scan with my phone anyways and just print from my phoneThe Bottom Line:We are using this as our primary printer in the house and it’s great since now we don’t have to worry about our inkjet constantly drying up. The print quality is superb and it prints double sided to save paper. The printer prints fairly quietly and quickly. The best part of this color laser printer is it’s compact design. It fits in the same spot as our smaller inkjet printer. The set up was very easy as you just download the Lexmark iOS app (I use an iPhone 8 Plus) and then you just connect to your WiFi and you’re basically set up and ready for printing. Overall, I would recommend this printer.*If you found my review helpful, please let Amazon know by clicking the helpful button below!**Disclosure: I received a sample product from the Amazon Vine program for an honest and unbiased review.",Bluering,1,"August 29, 2019",RU276IQ4QM2LV,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,Need a compact color laser printer with great print quality and easy set up?,13,https://www.amazon.com/gp/customer-reviews/RU276IQ4QM2LV?ie=UTF8&ASIN=B07T6PGM4J,Hoppaguy
No,it does what its supposed to and makes the pictures pop on the right paper ...setup was interesting I tried to do it via wifi on my phone to a regular router it would connect but it wouldnt do the final setup ... took a few swings at it even tried manual on the menu input (PITA ) but wouldnt work so I reverted to ethernet cable direct popped right up and all was wellsetup from the phone via the lexmark app worked fine after that and even found it on the network without the IPprinted nice and quick to spool up and kick the first page ... it not super loud but I wouldnt print in the middle of the night unless you had to kind dealenjoy this review I will use this for school for my daughters homework and light printing around the house,Bluering,0,"August 27, 2019",R2YVBV5GQ5HSGC,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,nice printer .... nice prints,1,https://www.amazon.com/gp/customer-reviews/R2YVBV5GQ5HSGC?ie=UTF8&ASIN=B07T6PGM4J,KaT
Yes,"I selected 1 star because it won't let me select negative stars. I'm not a person who writes reviews, ever. I'm a reasonable person who understands you get what you pay for. I also understand this isn't and wasn't designed to be a ""great printer."" But, this is the biggest POS I've ever purchased. Not exaggerating at all, if I were to print something 15 times, 13 times it crumples the hell out of the paper and doesn't print properly, 1 of 15 times it jams and 1 of 15 times it prints OK, but at a slight angle. Do not buy this thing.",Bluering,1,"August 27, 2019",R2SNXJQ1ZBFXRQ,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"Thank you for purchasing and reviewing your Lexmark C3224dw. We are sorry to hear about the issue you’re having with your printer. The paper jamming you reference is unexpected behavior and we would be happy to help you sort it out. If you could, please contact Lexmark Technical Support at 1-800-Lexmark so we can help you get up and running as intended. We look forward to hearing from you soon.",1,This printer is junk,26,https://www.amazon.com/gp/customer-reviews/R2SNXJQ1ZBFXRQ?ie=UTF8&ASIN=B07T6PGM4J,Andrew D.
No,"Pros: Prints two sided quickly with ""clean"" copiesCons:It is basically at the same price point as the 3 in 1 HP printer, scanner, and fax I have at my office.Same size and price, but without the ability to scan or fax. I can live without the ability to fax, but the scanner would require buying and finding a place for a scanner in addition to the printer.It says it only requires one cartridge for ink replacement. It requires 5 at $125 a piece. ($625 total)I prefer the HP printer I have at my office.",Bluering,0,"August 27, 2019",RWRG3SB0FBNAQ,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,2,"requires 5 ink  cartridges, not one...",2,https://www.amazon.com/gp/customer-reviews/RWRG3SB0FBNAQ?ie=UTF8&ASIN=B07T6PGM4J,dsjsws
No,"This printer has been a huge upgrade for me. I used to have a small HP printer which was ok for my needs or what I thought it was enough for my need. See I have a small business is home based and I’ve never thought of buying a business style printer and Man, was I wrong! First, I was shocked at how compact this Lexmark printer is and was so surprised at the same time how powerful and fast it was, this thing is a workhorse. Specially I can send anything via WIFI and no more of running cables and tripping over them.Setup was very easy. From unpacking it, to printing my first page was about 5-10 minutes. I was also surprised at how fast it prints. The print quality was sharp, bold and clear. My only struggle was when I tried to switch from plain paper to labels, the label paper is slick on the back side and the first two sheets I tried did not want to get picked up by the coil. So, I had to take out the labels and air the sheets. What I’ve noticed is that It really helps if you keep the tray full. After doing this, printing has been a breeze.Overall, this printer has changed my mind 180 degree in favor of having a business printer. I am very happy with it, especially the speed. highly recommended.",Bluering,0,"August 17, 2019",R2EF9KBLG7U2HJ,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,Workhorse,0,https://www.amazon.com/gp/customer-reviews/R2EF9KBLG7U2HJ?ie=UTF8&ASIN=B07T6PGM4J,Lashello
No,"Unpacking & setting up on wifi quick, instructions after that seem limited. Lexmark mobile print app, does not seem to handle documents. iPhone was able to print documents once printer was setup in air print, similarly on Android devices had to add printer to Google cloud print (little issue with expired certificates, had to disable some security features).Once configured seems to have no issues printing from mobile devices.",Bluering,0,"December 8, 2019",R1X7EJRL9YRPOW,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,"Good printer for the $, mobile printing via iOS & Android requires 3rd party utilities.",1,https://www.amazon.com/gp/customer-reviews/R1X7EJRL9YRPOW?ie=UTF8&ASIN=B07T6PGM4J,MadMonk
No,"I took a chance on this because it was cheap. Fresh out of the box it doesn't work. Got the same error another user mentioned here, ""remove cartridge packaging"". There is no packaging to remove because I followed the instructions and removed it. The real issue here is a piece of junk product that should be removed from Amazon. Now I have to deal with tech support on a brand new printer. *****DO NOT BUY",Bluering,0,"December 7, 2019",R81KVXOGIIEYP,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Beware,8,https://www.amazon.com/gp/customer-reviews/R81KVXOGIIEYP?ie=UTF8&ASIN=B07T6PGM4J,Andrew Sheffield
No,I was looking for a new printer didn't think i could afford a color laser printer when i came across the Lexmark it was just what i was looking for and the price was great .Definitely would recommend it to a friend,Bluering,0,"December 5, 2019",R3F8UV7DQYI603,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great laser printer for the price,1,https://www.amazon.com/gp/customer-reviews/R3F8UV7DQYI603?ie=UTF8&ASIN=B07T6PGM4J,David Griffith
No,"Was really watching this to see if it was going to work out, purchased it and LOVE it!! Prints great great quality and you cannot beat the price. Came on time and worked perfectly on setup!",Bluering,0,"December 3, 2019",R2E8F2ZKGV2UBM,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Worth It!,0,https://www.amazon.com/gp/customer-reviews/R2E8F2ZKGV2UBM?ie=UTF8&ASIN=B07T6PGM4J,K. Smith
No,Very fast shipping great value,Bluering,0,"November 25, 2019",R1NH0FDA3VMQNA,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Exactly what I was looking for thank you,0,https://www.amazon.com/gp/customer-reviews/R1NH0FDA3VMQNA?ie=UTF8&ASIN=B07T6PGM4J,glenda f
Yes,"Arrived with one day shipping, color me impressed.Well packaged, and the shipping box was pristine, all items included (just a manual, power cable and a disk for drivers). The packing foam was secure and nothing out of place.Followed the steps to a T and when I powered it on, I was greeted with this error:""remove cartridge package""I triple checked myself and I had removed everything it stated. Nothing cleared this. The Lexmark support website said contact them. This is brand new. I shouldn't have to.Requesting a refund. This thing is a heap of electronic crap.",Bluering,1,"November 22, 2019",R28WPQ3XFY8F0O,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"Thank you for purchasing the Lexmark C3224. We are sorry to hear that the device was defective out of the box as that is not the expected quality of our devices. We would be happy to replace this device. If you would like to proceed with replacing the printer, please contact Lexmark support at 1-800-Lexmark (1-800-539-6275). We apologize for the inconvenience.",1,Dead On Arrival,5,https://www.amazon.com/gp/customer-reviews/R28WPQ3XFY8F0O?ie=UTF8&ASIN=B07T6PGM4J,Brittany
No,Great product for the price if you do not have lots of color printing volume. Set up took about 5 minutes including getting it out of the box. Plugged it right into the network and all was fine.,Bluering,0,"November 22, 2019",R3VQ0NPFBT69A0,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Easy Set Up,0,https://www.amazon.com/gp/customer-reviews/R3VQ0NPFBT69A0?ie=UTF8&ASIN=B07T6PGM4J,joseph c kinsey
No,sometimes i need to reset the ip address.,Bluering,0,"November 13, 2019",R1R97FQUKNLU1I,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,works in my tool box.,0,https://www.amazon.com/gp/customer-reviews/R1R97FQUKNLU1I?ie=UTF8&ASIN=B07T6PGM4J,Amazon Customer
No,"Bought this printer to replace my old inkjet printer. The software instructions are so veage it's amazing anyone could connect to their computer much less network. And once it was connect, kept getting Error messages that it was out of Magenta toner. Brand new and already asking for toner to be replaced. what a load of crap. Day2 working with tech support. OMG what a trip.",Bluering,0,"December 23, 2019",R21I0LPZU7UB39,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Don't waste your money.,1,https://www.amazon.com/gp/customer-reviews/R21I0LPZU7UB39?ie=UTF8&ASIN=B07T6PGM4J,gregory
No,"The printer came perfectly, set up only took about 5 minutes, I didn’t open the package till the next day , I wish I would have opened it sooner , so anyway as I’m setting up my app to print wirelessly to the printer . I press print , it’s loading ... I waited and waited and waited , nothing ! so I canceled and thought maybe it’s because it’s the printers first print . NOPE ! I waited 15 minutes while it stated it was “loading” nothing . I’ve began my return as of right now I’m really upset . I run an at home BUISNESS and this is very disappointing. I was planning on using this right before Christmas considering it came 3 days before and I open it two days before and it’s a piece of CRAP ! don’t listen to the good reviews like I did and say “hey let’s give it a chance” NO don’t do it you will be dissatisfied completely!",Bluering,0,"December 23, 2019",R3B2I6TKIGQNAU,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,don’t chance it,0,https://www.amazon.com/gp/customer-reviews/R3B2I6TKIGQNAU?ie=UTF8&ASIN=B07T6PGM4J,Monique
No,I paid for a laser color printer but it was always in sleep mode and the ink ran out so fast when I did use it. Also to replace the inkit would cost more than just buying a new printer.Very disappointing to me and cost my company money and time.I sent product back and was never refunded like promised,Bluering,0,"December 22, 2019",R3NBZQNRW7JOIB,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Ink cost more than printer,2,https://www.amazon.com/gp/customer-reviews/R3NBZQNRW7JOIB?ie=UTF8&ASIN=B07T6PGM4J,albert plante jr
No,Works as advertised. Pretty easy to setup through the app. Print quality is quite decent. Value is ridiculously high for the money spent! Not sure how much replacement toner's going to cost - Maybe that's where the catch is?! I'm quite happy with this purchase so far.,Bluering,0,"December 21, 2019",RYL17HVTSUTCG,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,No Fuss,0,https://www.amazon.com/gp/customer-reviews/RYL17HVTSUTCG?ie=UTF8&ASIN=B07T6PGM4J,Arun Kumar
No,"I was able to wirelessly connect my Android phone using the Google Cloud Print app which is a great feature. While I love the quality pictures this printer puts out and the sharpness of my documents, I was astonished when I found how much a new set of Cartridges cost...double the price of the printer !!Hopefully the Toner Cartridges last a real long time.",Bluering,0,"December 21, 2019",R2R8VZAOURKTJT,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,3,Laser Quality wireless printing,1,https://www.amazon.com/gp/customer-reviews/R2R8VZAOURKTJT?ie=UTF8&ASIN=B07T6PGM4J,Brian J. Fitzpatrick
No,"Lexmark Printer ReviewIf you found this printer difficult to install, then perhaps you are too stupid to own one. It took me longer to take it out of the box than to set it up. I did not use the app, I just plugged it in and used the printer display panel. Took less than 10 minutes from start to finish. I do recommend updating the firmware right after setting it up. It still blows my mind that I am able to buy an excellent quality laser COLOR printer at this price.Print quality is very good. Color saturation and coverage is uniform and rich. I read reviews that complained about how noisy the printer is. That has not been my experience. I only print wireless from Mac, iPhone and Windows without any connectivity problems.I had one problem. Out of the box the printer was printing a series of dots lined vertically 1/2 inch from the right edge, spaced exactly one inch apart on every page. I called Lexmark support who quickly had me run printer diagnostics (again, from the printer display panel). He determined that the problem was caused by the black toner cartridge. He shipped me a new cartridge (full size, not the starter one!), which solved the problem. While it was disappointing to have a problem like this on a brand new printer, Lexmark made up for it. I hope the printer will last for at least 3-4 years, but only time will tell.",Bluering,0,"December 18, 2019",R2XNDMPRWETDW3,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,Excellent value for the money,1,https://www.amazon.com/gp/customer-reviews/R2XNDMPRWETDW3?ie=UTF8&ASIN=B07T6PGM4J,Miles
No,I was very skeptical based on the price but so far this is a solid printer. WiFi connectivity is solid and print quality is top notch. Printing from computers and mobile devices is really easy. Setup was simple. Only time will tell but I have to say that I am very impressed with this printer.,Bluering,0,"December 18, 2019",REJAGOVNEV2L0,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great value,0,https://www.amazon.com/gp/customer-reviews/REJAGOVNEV2L0?ie=UTF8&ASIN=B07T6PGM4J,Miggo
No,i like it,Bluering,0,"December 17, 2019",R334D0Q03YHCAS,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,it prints,0,https://www.amazon.com/gp/customer-reviews/R334D0Q03YHCAS?ie=UTF8&ASIN=B07T6PGM4J,gerald l. ingram
No,"Bought this on a whim, forgot to check if Apple compatible. It’s not described as such online. However, with some research I was able to get it to work with my network at home and print from my Apple computers and my iPhone!! We are extremely satisfied!",Bluering,0,"December 16, 2019",R29OMQS6SHFBMJ,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great price and works with my Apple through the network!,0,https://www.amazon.com/gp/customer-reviews/R29OMQS6SHFBMJ?ie=UTF8&ASIN=B07T6PGM4J,Craig Jones
No,"3 Month Update: I have run low on toner and just discovered there is no aftermarket/generic toners available. I can buy Lexmark high yield toner package for $350 or standard yield for $275. I think I will throw this printer in the garbage and buy something new. I cannot afford toner that expensive, I had just assumed there is always an aftermarket of generic toners, but this printer must not sell in high enough numbers for aftermarket companies to make toners. It will be cheaper for me to throw this away and buy another brand printer that does have aftermarket toners available.Original Review: Home printers are throw away items. They usually don't last more a year, if they do, they need new rollers, drums, etc that cost more than a new printer. My Canon Imageclass MF634cdw was flawless for one year. Got it loaded and up and running in 20 minutes. After one year it started making awful grinding noises and printing badly, etc. Time for something new.This was only $114 and has the auto duplex function. It lacks the all-in-one document feeder and scanner, but I can still use that on my old Imageclass. Setup was difficult (much harder than my Canon was), and the printer could not be detected on my wifi, so I had to google how to load a print driver using an IP address. I've never done this before. Took me about 5 hours to set this printer up on my 2 computers (desktop & laptop), but it prints quickly and quietly. Auto duplex works perfect. After 5 days, it has not gone offline, not had any paper jams, no issues at all.I will update this if I have any issues, but after 5 days, despite some annoyances in getting it up and running, I am very please for only $114.",Bluering,0,"December 10, 2019",RVJ0L3I075N0B,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,No Aftermarket Toner!!,6,https://www.amazon.com/gp/customer-reviews/RVJ0L3I075N0B?ie=UTF8&ASIN=B07T6PGM4J,E. Nelson
No,"Big printer! So far I really like it. Was easy to set up, and easy to print remotely from as devices.",Bluering,0,"January 12, 2020",R3IBKGGW7HZEN,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Easy set up,0,https://www.amazon.com/gp/customer-reviews/R3IBKGGW7HZEN?ie=UTF8&ASIN=B07T6PGM4J,Amazon Customer
No,"If your looking for a Mac printer / air print, this is not it. Although it does say air print right on the box, no matter what I did the printer would not connect. Manual IP entry, downloading drivers, even assigning the printer it’s own local port, nothing work on several air books. Returning ASAP",Bluering,0,"January 12, 2020",R13260TB0CSKD4,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,MAC USERS BEWARE,1,https://www.amazon.com/gp/customer-reviews/R13260TB0CSKD4?ie=UTF8&ASIN=B07T6PGM4J,Brandon T.
No,"I WASTED HOURS TRYING TO GET THIS COMPUTER TO WORK WITH MY MAC. CUSTOMER SERVICE WAS LESS THAN USELESS (""Is the machine turned on?"" gee I never thought of that)",Bluering,0,"January 11, 2020",R1IR1GXBB6OCQ1,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,WON'T WORK WITH A MAC,0,https://www.amazon.com/gp/customer-reviews/R1IR1GXBB6OCQ1?ie=UTF8&ASIN=B07T6PGM4J,JIM
No,great little laser printer. perfect for my office need.,Bluering,0,"January 9, 2020",R3G5C2GJT5MYVR,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,perfect print quality,0,https://www.amazon.com/gp/customer-reviews/R3G5C2GJT5MYVR?ie=UTF8&ASIN=B07T6PGM4J,mei zhou
No,It was a gift but it works pretty good,Bluering,0,"January 9, 2020",R3CX6DSV55FXT3,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,They loved the gift,0,https://www.amazon.com/gp/customer-reviews/R3CX6DSV55FXT3?ie=UTF8&ASIN=B07T6PGM4J,Alan Krepel
No,"Used for every day printing, including photos, works very good. Still learning the ins and outs, I've had the printer for a month now.",Bluering,0,"January 7, 2020",R37XIOL5SYHI5V,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,So far so good,0,https://www.amazon.com/gp/customer-reviews/R37XIOL5SYHI5V?ie=UTF8&ASIN=B07T6PGM4J,Pathfinder
No,It's my first color laser printer. I'm very happy with it.,Bluering,0,"January 6, 2020",R2FW5GIN1X9NWA,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Works great,0,https://www.amazon.com/gp/customer-reviews/R2FW5GIN1X9NWA?ie=UTF8&ASIN=B07T6PGM4J,Elisia
No,Great quality for $116. A laser print is so much better than a dot matrix.,Bluering,0,"January 5, 2020",RVK9HJ6VR8WV6,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great quality for almost no money.,0,https://www.amazon.com/gp/customer-reviews/RVK9HJ6VR8WV6?ie=UTF8&ASIN=B07T6PGM4J,E. Saltzberg
Yes,"I'm terribly disappointed with what this printer has produced. My heart sank on the first test page when what came out appeared to have been the product of an inkjet printer. I really thought I had mistakenly paid for an inkjet the quality is so poor. And now I've gone from feeling like a sucker to being completely furious.I causes me to reconsider that value of Amazon exspecially for more expensive items. I very much wanted to make use of this printer today. I don't get much time off. I don't have time for BS.If I had gotten this at a brink-and-morter, I could solve this problem today. I'd go back to the store, show them the garbage that came out of this printer and they'd likely help me. I'd get back home and could continue with today's work.Instead now I've got to go through the pain of trying to figure out exactly what hoops I've got to jump through to get satisfaction.It's possible that it's not the printer itself that's the problem but instead the toner cartridges it came with. That doesn't matter and it doesn't help me. I need a working device now. I don't have it. I've tried shaking the cartidges but it doesn't help.I've included a video showing what the printer produced. Note the inkjet printer-like patterning in the rainbow image. Even basic black text is spotty and broken.",Bluering,3,"January 5, 2020",R1XAOQKUSXSH8Z,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"We hate to hear your frustration and would love to fix this situation for you. Lexmark products are designed and tested for quality and reliability, and what you are describing clearly does not meet those standards. Please call 1-800-LEXMARK (1-800-539-6275) Monday-Friday 8:00am to 9:00pm EST and selecting the option for technical support for us to help.",1,From sucker to furious.,35,https://www.amazon.com/gp/customer-reviews/R1XAOQKUSXSH8Z?ie=UTF8&ASIN=B07T6PGM4J,ScotA
No,"When setting up the printer I kept getting a persistent error message ""Remove Cartridge Packaging "" even though I had removed all the packaging. Went through online troubleshooting to no avail. Phone support was very courteous, but repeated the online troubleshooting again to no avail. Lexmark is sending out another printer but I will have to transfer the print cartridges, paper tray, and waste toner bottle from the defective printer to the new printer when it arrives.Update: I am upgrading my rating from 1 start to 4 stars. I received the replacement printer, unpacked it (was very careful pulling the plastic tabs off of the toner cartridges), and it started up without any problems. My Windows 10 pc found it on my network immediately and I was able to print with no problems. I am subtracting 1 star because of the hassle of dealing with a dead-on-arrival product, having to take the return to the ups store, etc..",Bluering,0,"December 24, 2019",R1W1Z6HHF2JMX5,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,Did not work out of the box,2,https://www.amazon.com/gp/customer-reviews/R1W1Z6HHF2JMX5?ie=UTF8&ASIN=B07T6PGM4J,Family Man
No,"Sometimes it takes a to much time to print color files, but in general, it works well",Bluering,0,"January 21, 2020",R1V3GT3OI6QDMG,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,Good price,0,https://www.amazon.com/gp/customer-reviews/R1V3GT3OI6QDMG?ie=UTF8&ASIN=B07T6PGM4J,marcel ferrer
No,"Unfortunately, A) the setup process is a bit janky; luckily I have a bit of tech background and was able to put in the proper networking info manually to get it online. Print quality is good, but then I went to get some toner, and all I can find is $300 toner sets. 3x the cost of the device itself...yeah, no especially when there are Brothers available with $60 after-market toner.",Bluering,0,"January 19, 2020",R1UEICG3FK2BBJ,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,2,Toner is out-of-this-world expensive,5,https://www.amazon.com/gp/customer-reviews/R1UEICG3FK2BBJ?ie=UTF8&ASIN=B07T6PGM4J,D. Engel
No,"Have not had the opportunity to print a large quantity of pages yet so I can't include durability or speed in my review. I can only write that the quality is very good. The few pages I did print in one que was very fast and quiet from both my MacBook and iPhone. I did not experience any problems in connecting the wifi and it only took minutes to connect. The negative -- screen is kind of small which makes it difficult to read and in the past I have personally used and owned inkjet so the unit was a lot heavier then Im used to. I don't know how the toner cartridges are set up in terms of black and if the color are all in one or separate.The primary purpose of me purchasing a laserjet is I got tired of the inkjets clogging and so far I am very pleased with that aspect and the overall performance of this lexmark printer. To me it was well worth the almost literal few dollars extra for piece of mind in knowing it so far is dependable in printing if I don't print for a week, or two or more. I think the value is extremely good considering it is not a monotone printer but a color laserjet.",Bluering,0,"January 19, 2020",R3EL6XIMQMZ64F,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great value,0,https://www.amazon.com/gp/customer-reviews/R3EL6XIMQMZ64F?ie=UTF8&ASIN=B07T6PGM4J,christopher
No,"Business, educational, personal",Bluering,0,"January 19, 2020",RDP4CHVHPOOE8,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great printer for home business,0,https://www.amazon.com/gp/customer-reviews/RDP4CHVHPOOE8?ie=UTF8&ASIN=B07T6PGM4J,Judith Kumar Watkins
No,"Don't even know where to begin. In short, it's defective and no amount of fussing, firmware updating, ""Color Calibrating"" will fix it. The black image is shifted about 1/16th of an inch from all of the color images. Looks like a weird ghost image on every printout.This issue is not fixable, and tech support is useless. It's going back...",Bluering,0,"January 19, 2020",R3HGXA56ZCTTME,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,This printer's ONLY good feature is its price,0,https://www.amazon.com/gp/customer-reviews/R3HGXA56ZCTTME?ie=UTF8&ASIN=B07T6PGM4J,Ira Rosenberg
No,The printer was damaged and I was not able to install it. I had to return it.,Bluering,0,"January 18, 2020",R197AIJ5OWG5E1,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Don't buy this printer,0,https://www.amazon.com/gp/customer-reviews/R197AIJ5OWG5E1?ie=UTF8&ASIN=B07T6PGM4J,Tech User
No,Printer purchased for $118. Great deal right? Wait till you have to buy toner for it. At around $75 each it will cost you $300 to put ink in this printer. Ha!I am updating my review on this printer after over a month of use. At first I was very concerned over the cost of the cartridges. After using it for a while now I am extremely concerned over the cost of the cartridges and the actual pages you get per cartridge.I am printing shipping labels with this printer in black and white. I got about 170 lables with the partial cartridge that it comes with. Today I ordered the third black cartridge from Lexmark. According to the printer count I have printed a total of 766 pages and have used up the starter cartridge and one of the brand new full cartridges. This is an absolutely miserable page count considering Lexmark claims I should be getting 1500+ pages per cartridge.The only reason I went with this printer was because I used to run a Lexmark 250DN printer here in the office. We got well over 1000 pages on each cartridge with that old printer. Guess newer isn't always better. Sad.,Bluering,0,"January 17, 2020",R3N9UDSF8XE674,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Beware of expensive toner,6,https://www.amazon.com/gp/customer-reviews/R3N9UDSF8XE674?ie=UTF8&ASIN=B07T6PGM4J,Romean Bassiri
No,"After 1 1/2 hours unpacking, setting up, and dealing with Lexmark technical support, they finally said this model is NOT compatible with the mobile printing app and CANNOT be used as a network printer and will NOT print wirelessly.Many manufacturers produce lower quality, lower-end products specifically for high-volume retailers like Amazon, Walmat, Home Depot, etc. The retailer dictates the price point and the manufacturer uses cheaper parts, removes functions, etc.This is one of those. Every other model of Lexmark is compatible with their mobile printing app, which is required to print wirelessly from your phone, tablet, etc This one isn't.If you need to print wirelessly do NOT buy this printer.",Bluering,1,"January 15, 2020",R1DSGAPNGG525Q,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,NOT compatible with Lexmark mobile app,10,https://www.amazon.com/gp/customer-reviews/R1DSGAPNGG525Q?ie=UTF8&ASIN=B07T6PGM4J,msbav8r
No,This printer is excellent for the price. It prints nicely. It's easy to set up. The features are good. I'm happy with it.,Bluering,0,"January 14, 2020",R350CWIIY86YOT,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,Great printer for the price,0,https://www.amazon.com/gp/customer-reviews/R350CWIIY86YOT?ie=UTF8&ASIN=B07T6PGM4J,Jamie and Heather Hejduk
No,"Great for first 4 months, now I’ll not connect to computer anymoreThis printer is amazing it came with enough ink to print 100 full color pages and I’m still going this is a must buy if you want a laser printer",Bluering,0,"January 12, 2020",R52NIBV9IQFR5,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,2,Must not buy,0,https://www.amazon.com/gp/customer-reviews/R52NIBV9IQFR5?ie=UTF8&ASIN=B07T6PGM4J,Christian E Belcastro
No,I would not purchase again! Print quality is great but the cartridges are more expensive than the printer! DO NOT BUY! Get a different one!,Bluering,0,"February 24, 2020",R3C7YDV8538LJ6,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Not worth the money! Cartridges too expensive!!,3,https://www.amazon.com/gp/customer-reviews/R3C7YDV8538LJ6?ie=UTF8&ASIN=B07T6PGM4J,Laurie Ballora
No,"A DISK, 3 CALLS TO IT, 3 FAILED ATTEMPTS FROM LEXMARK TO GET INTO MY COMPUTER. IT WEIGHS A TON, AND DOES NOT WORK. WIRELESS APPS, PHONE CALLS, AND IT PROFESSIONAL AND THREE FAILED ATTEMPTS FOR SOMEONE TO REMOTE IN AND FIX.. WORTH LESS AND GET OUT OF THE BUSINESS.",Bluering,0,"February 17, 2020",R248OY3VSA2N60,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,JUNK JUNK JUNK,0,https://www.amazon.com/gp/customer-reviews/R248OY3VSA2N60?ie=UTF8&ASIN=B07T6PGM4J,beavercopa
Yes,"doesn't print, plain and simple. tried to print through network and through USB cable, and no Windows 10 drivers???? its 2020!!!! waste of time and money. Website is useless, just says to install Windows 8.1 drivers but they don't work. first and last time I buy a Lexmark product",Bluering,1,"February 16, 2020",R2ZS5TI97LAWMH,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"We are sorry to hear about your difficulty configuring the C3224dw, Tony. This product is fully compatible with Windows 10 (both 32-bit and 64-bit versions). We recommend checking out the resources at support.lexmark.com. Once at this support page, simply enter the Product Name ""C3224"" and then go to the ""Drivers and Downloads"" link where you will find the Windows 10 drivers. You will also find access to live chat and other product manuals, guides, and other resources. If you are in need of further assistance, please call 1-800-LEXMARK (1-800-539-6275) Monday-Friday 8:00am to 9:00pm EST and select the option for technical support.",1,TRASH,0,https://www.amazon.com/gp/customer-reviews/R2ZS5TI97LAWMH?ie=UTF8&ASIN=B07T6PGM4J,Tony Divine
No,"This is a great printer, easy to connect to WiFi",Bluering,0,"February 16, 2020",R2USZC0LMS5UHY,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Value++++++,0,https://www.amazon.com/gp/customer-reviews/R2USZC0LMS5UHY?ie=UTF8&ASIN=B07T6PGM4J,dedw
